text,label
Highly recommended,positive
Amazing quality,positive
I hate this,negative
Worst experience ever,negative
Horrible support,negative
Will not buy again,negative
Horrible support,negative
Absolutely fantastic,positive
Will not buy again,negative
I love this product,positive
I am satisfied,negative
This is terrible,negative
Absolutely fantastic,positive
Bad quality,negative
Superb experience,positive
Excellent performance,positive
Good value for money,positive
I hate this,negative
Absolutely fantastic,positive
Bad quality,negative
I am satisfied,negative
Not worth the money,negative
Highly recommended,positive
This is terrible,negative
Amazing quality,positive
Very happy with the service,positive
I hate this,negative
This is terrible,negative
Absolutely fantastic,positive
This is terrible,negative
Amazing quality,positive
Excellent performance,positive
Will not buy again,negative
Very happy with the service,positive
Very disappointing,negative
Awful product,negative
Awful product,negative
Absolutely fantastic,positive
This is terrible,negative
Absolutely fantastic,positive
I am satisfied,negative
Absolutely fantastic,positive
Will not buy again,negative
Amazing quality,positive
Bad quality,negative
Excellent performance,positive
Awful product,negative
Will not buy again,negative
Absolutely fantastic,positive
Very happy with the service,positive
Worst experience ever,negative
Bad quality,negative
Good value for money,positive
Highly recommended,positive
I hate this,negative
Good value for money,positive
I am satisfied,negative
Horrible support,negative
I am satisfied,negative
Highly recommended,positive
Worst experience ever,negative
Very disappointing,negative
Not worth the money,negative
Absolutely fantastic,positive
Horrible support,negative
I am satisfied,negative
Not worth the money,negative
Awful product,negative
Horrible support,negative
Highly recommended,positive
Not worth the money,negative
Good value for money,positive
Very disappointing,negative
Horrible support,negative
Absolutely fantastic,positive
Absolutely fantastic,positive
Not worth the money,negative
Bad quality,negative
I love this product,positive
I am satisfied,negative
